n,seconds
966,0.000569
967,0.0005979
968,0.000617
969,0.0005846
970,0.0006466
971,0.0006063
972,0.0005574
973,0.0005728
974,0.0005724
975,0.0005728
976,0.0005656
977,0.000604
978,0.0005854
979,0.0006058
980,0.000569
981,0.0005828
982,0.0005729
983,0.0005865
984,0.0007772
985,0.0009046
986,0.0006878
987,0.0006734
988,0.0008305
989,0.0007782
990,0.0006386
991,0.0006586
992,0.0006373
993,0.0006755
994,0.0006602
995,0.0006683
996,0.0007355
997,0.0006295
998,0.0005845
999,0.0006446
1000,0.0006959
1001,0.0006826
1002,0.000685
1003,0.0007491
1004,0.000685
1005,0.0007085
1006,0.0006498
1007,0.0005979
1008,0.0005996
1009,0.0006677
1010,0.0006964
1011,0.0007446
1012,0.0006792
1013,0.0006682
1014,0.000633
1015,0.0007238
1016,0.0007391
1017,0.0007281
1018,0.0007235
1019,0.0006963
1020,0.0006897
1021,0.0006795
1022,0.0007417
1023,0.0007525
1024,0.0009342
1025,0.0006954
1026,0.0006916
1027,0.0006349
1028,0.0006399
1029,0.0006777
1030,0.0007173
1031,0.0006503
1032,0.0006683
1033,0.0006478
1034,0.0006614
1035,0.0006528
1036,0.0006591
1037,0.0006692
1038,0.0006378
1039,0.0006193
1040,0.0005992
1041,0.0006433
1042,0.0006249
1043,0.0006118
1044,0.0007475
1045,0.0007856
1046,0.0007411
1047,0.0006558
1048,0.0006653
1049,0.0006768
1050,0.0007423
1051,0.0006664
1052,0.0006679
1053,0.0006627
1054,0.0006554
1055,0.0006581
1056,0.0006757
1057,0.0007034
1058,0.0007204
1059,0.0007018
1060,0.0007279
1061,0.000677
1062,0.0006494
1063,0.0009733
1064,0.0007172
1065,0.0008133
1066,0.000722
1067,0.000735
1068,0.0006779
1069,0.0006779
1070,0.0006821
1071,0.0006859
1072,0.000704
1073,0.0006948
1074,0.0006934
1075,0.0007124
1076,0.0006654
1077,0.000657
1078,0.0006875
1079,0.0006426
1080,0.0007155
1081,0.0007214
1082,0.0008708
1083,0.000732
1084,0.0007607
1085,0.0007132
1086,0.000727
1087,0.0007269
1088,0.0007098
1089,0.0007168
1090,0.0007174
1091,0.0007103
1092,0.0006986
1093,0.000695
1094,0.0007278
1095,0.0007257
1096,0.0007151
1097,0.0007365
1098,0.0007181
1099,0.000724
1100,0.0010317
1101,0.0015792
1102,0.0016908
1103,0.0009669
1104,0.0007148
1105,0.0007177
1106,0.0007554
1107,0.0007203
1108,0.0007268
1109,0.0007327
1110,0.0007323
1111,0.000713
1112,0.0007322
1113,0.0007563
1114,0.0007418
1115,0.000745
1116,0.0007983
1117,0.0007891
1118,0.0007838
1119,0.0007662
1120,0.0007131
1121,0.0006827
1122,0.0006789
1123,0.000693
1124,0.0006989
1125,0.0007068
1126,0.0007016
1127,0.0007236
1128,0.000682
1129,0.0006665
1130,0.0006885
1131,0.0006913
1132,0.0007416
1133,0.0007745
1134,0.0008296
1135,0.0007747
1136,0.000742
1137,0.0007807
1138,0.0007664
1139,0.0007894
1140,0.0007865
1141,0.000775
1142,0.0007598
1143,0.0007596
1144,0.0007639
1145,0.0007786
